ticker,opt_type,trades,wins,win_rate_pct,avg_return_T5,sharpe,total_premium_usd,avg_anomaly_score,trades_near_event,is_smart_money
QQQ,put,2,0,0.0,0.0,0.0,33074591.0,2.0,0,False
TSLA,put,13,0,0.0,0.0,0.0,30387218.0,2.08,12,False
QQQ,call,4,0,0.0,0.0,0.0,25471248.0,2.0,0,False
SPY,put,1,0,0.0,0.0,0.0,24920960.0,2.0,0,False
AMD,put,15,0,0.0,0.0,0.0,13378567.0,2.07,14,False
SPY,call,1,0,0.0,0.0,0.0,7747096.0,2.0,0,False
META,put,1,0,0.0,0.0,0.0,7219315.0,2.0,0,False
COIN,call,15,0,0.0,0.0,0.0,6937380.0,2.13,15,False
AAPL,put,1,0,0.0,0.0,0.0,5640400.0,2.0,0,False
AMD,call,7,0,0.0,0.0,0.0,2325324.0,2.0,7,False
PLTR,call,5,0,0.0,0.0,0.0,1083356.0,2.4,5,False
PLTR,put,5,0,0.0,0.0,0.0,923483.0,2.0,5,False
NVDA,put,4,0,0.0,0.0,0.0,859544.0,2.0,4,False
COIN,put,6,0,0.0,0.0,0.0,833235.0,2.0,6,False
TSLA,call,5,0,0.0,0.0,0.0,625692.0,2.0,5,False
NFLX,call,1,0,0.0,0.0,0.0,147735.0,2.0,1,False
AMZN,put,1,0,0.0,0.0,0.0,75600.0,2.0,1,False
